OBJECTID,ADDRESS,CORNERSIDE
188,29th & Lehigh Ave.,NW
189,29th & Lehigh Ave., 
190,2400 N. 16th St.,SE
191,2400 N. 16th St., 
192,"Lawrence & Lehigh Ave.
Lawrence & Lehigh Ave.
",SE
193,4th & Lehigh Ave.,SW
194,"Front & Lehigh Ave.
",NE
195,A St. & Lehigh Ave.,NE
196,Potter & Lehigh Ave.,SE
197,Aramingo & Lehigh Ave.,SW
198,Richmond & Lehigh Ave.,SE
199,8th & Allegheny Ave.,SE
200,7th & Allegheny Ave.,SE
201,Front & Allegheny Ave.,SE
202,Lee & Allegheny Ave.,NE
203,A  St. & Allegheny Ave.,SW
204,Huntingdon & Germantown Ave.,NW
205,Huntingdon & Germantown Ave.,SW
206,Huntingdon & Germantown Ave.,SE
207,Huntingdon & Germantown Ave.,NE
208,Oakdale & Germantown Ave.,SE
209,"Lehigh & Germantown Ave.
",SW
210,Lehigh & Germantown Ave.,SE
211,"Lehigh & Germantown Ave.
",NE
212,"Lehigh & Germantown Ave.
",NW
213,N. 12th & W. Girard Ave.,NW
214,8th & Girard Ave., 
215,Chelten & Wister St.,NE
216,Stenton & Washington Ln.,NE
217,6400 Stenton Ave.,SE
218,Stenton & Barringer St.,NE
219,79th Ave. & Cheltenham,NW
220,Washington Ln. & Cheltenham,SW
221,15th St. & Old York Rd.,NE
222,"Chew & Chelten Ave.
",NE
223,"Chew & Chelten Ave.
",SW
224,1600 E. Tulpehocken St.,NW
225,Chelten & Baynton St.,SW
226,Chelten & Baynton St.,NE
227,Ridge Ave. & Aurania St.,NW
228,Ridge & Flamingo St.,NW
229,Ridge & Wigard Ave.,NW
230,Ridge & Green Ln.,SE
231,Ridge & Shurs Ln.,SE
232,5700 Ridge Ave.,SE
233,Germantown & Brunner St.,NW
234,Germantown & Juniata St.,NW
235,Germantown & Juniata St.,SW
236,"Germantown & Dounton St.
",NW
237,Germantown & Staub St.,SW
238,Germantown & Coulter St.,NW
239,Germantown & Coulter St.,SE
240,6000 Germantown & Walnut Ln.,NW
241,6000 Germantown & Walnut Ln.,SW
242,6000 Germantown & Walnut Ln.,SE
243,"6000 Germantown & Walnut Ln.
",NE
244,Germantown & Creshiem Valley Rd.,NW
245,Wayne Ave. & Logan St.,SW
246,Wayne Ave. & Logan St.,NW
247,Wayne Ave. & Manheim St.,SE
248,Wayne Ave. & Manheim St.,SW
249,Wayne Ave. & Sedgewick St.,SW
250,Midvale & Henry Ave.,NW
251,Chelten & Pulaski Ave.,SE
252,Chelten & Knox St.,NE
253,Chelten & Wayne Ave.,SE
254,2800 Kensington Ave., 
255,2900 Kensington Ave.,SW
256,2900 Kensington Ave.,SE
257,2900 Kensington Ave., 
258,3000 Kensington Ave.,NW
259,3200 Kensington Ave.,NW
260,3200 Kensington Ave.,SE
261,3300 Kensington Ave.,NW
262,3400 Kensington Ave.,NE
263,3400 Kensington Ave.,SE
264,"3400 Kensington Ave.
",NW
265,4300 Kensington Ave.,SE
266,4300 Kensington Ave.,NE
267,4300 Kensington Ave.,SW
268,4300 Kensington Ave.,NW
269,5300 Oxford Ave.,NE
270,"5300 Oxford Ave.
",SW
271,5400 Oxford Ave.,SE
272,800 E. Allegheny Ave.,NW
273,4100 Frankford Ave.,SE
274,4200 Frankford Ave., 
275,4300 Frankford Ave.,NE
276,"4300 Frankford Ave.
",NW
277,"4300 Frankford Ave.
",SE
278,"4300 Frankford Ave.
",SW
279,4400 Frankford Ave.,NW
280,4400 Frankford Ave.,SE
281,"4500 Frankford Ave.
",NW
