the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng
0101000020E61000009D4452C3E9CA52C04EF61039B8FA4340,0101000020110F0000AF719EF0D1EB5FC1DF518B540B8A5241,264,171999,Sw 19th/Parkway,yes,39.95874703720311,-75.17051775964724
0101000020E6100000208F4CD3F7C952C0FB5D476962F94340,0101000020110F00006C710DFC36EA5FC16BE48AA090885241,265,172001,Ne 9th/Walnut,yes,39.948315772864554,-75.15575106121514
0101000020E6100000FE46E65BDEC952C049FDD82356F94340,0101000020110F00008F4432BA0BEA5FC1CA89550883885241,266,172003,Se 8th/Walnut,yes,39.947941285087445,-75.15419671524066
0101000020E61000005604DE3F72C952C09BF4CACE82F84340,0101000020110F000068A9AB1754E95FC1EC45EBEB98875241,267,172004,Nw 3rd/South,yes,39.94149193677841,-75.14759823495237
0101000020E6100000FF8E250FFBC952C08D545ED04BFA4340,0101000020110F0000C12C3C7A3CEA5FC10A2FEB3693895241,268,172005,Nw 10th/Race,no,39.95543865781756,-75.15594843547659
0101000020E61000001A60DDA046CA52C0B1F6CD0DBAFB4340,0101000020110F00006145E2D6BCEA5FC15C18E806298B5241,269,172006,Sw Broad/Ridge,no,39.96661541516131,-75.16056081408206
0101000020E61000001BB93A361ACB52C00DDFF8CFF0FA4340,0101000020110F0000AACF343C24EC5FC1C7E66F084A8A5241,270,172007,20th Ben Franklin Pkwy,no,39.96047401096266,-75.17347484335589
0101000020E61000009B31765AA1CA52C000A6BF9A71FA4340,0101000020110F0000DCBEE5F156EB5FC10614D615BD895241,271,172008,Nw 16th/Race,no,39.956591933801974,-75.1660982279049
0101000020E6100000AC8BEAEDB9CA52C05180823A8CF94340,0101000020110F000014E690B080EB5FC1930863F4BE885241,272,172009,Sw 16th/Walnut,no,39.94959193584567,-75.1675982275471
0101000020E6100000F559932387CA52C0768E1CC43CFB4340,0101000020110F00001A37C86A2AEB5FC1F120B8319E8A5241,273,172011,Ne 16th/Spring Garden,no,39.9627919330059,-75.1644982279757
0101000020E6100000E130587BBFC952C0304D023493F84340,0101000020110F00003DA48347D7E95FC1720A5615AB875241,274,172016,"6th & South, SE",no,39.94199228393916,-75.15231212246319
0101000020E61000007ED3BA4D37CB52C0EDA81ED3FEFA4340,0101000020110F00002A0089A655EC5FC1829B288F598A5241,275,172017,Sw 22nd/Parkway,no,39.96090163228096,-75.17525046581974
0101000020E610000033636BAD48CB52C0B7BEA2DD5CFA4340,0101000020110F0000FA37622973EC5FC183A07A1BA6895241,276,172018,Sw 22nd/Arch,no,39.95595903822453,-75.17631087767658
0101000020E6100000DA7A9D3F61CA52C0CB6E546079F94340,0101000020110F0000B3566C0EEAEA5FC168CEA611AA885241,277,172019,Sw 13th/Walnut,no,39.949016610362,-75.16218557719131
0101000020E610000034E6D7392ECA52C018C9FBAF6BF94340,0101000020110F0000217DB06393EA5FC13D255AE79A885241,278,172020,Sw 11th/Walnut,no,39.94859885973182,-75.15907140811834
0101000020E61000006BA537693DCA52C0264A6371A6F94340,0101000020110F00009B0CC92EADEA5FC1E40D2EFFDB885241,279,172022,Ne 12th/Chestnut,no,39.95039193485381,-75.15999823030658
0101000020E6100000D32DF00FB7C952C07B01E48EDEF84340,0101000020110F0000D8F856FAC8E95FC1057F058FFE875241,280,172023,6th/Panama/West Side,no,39.94429193623633,-75.15179823355656
0101000020E6100000180662F9DDCA52C00EA716D425FB4340,0101000020110F0000BDC558EABDEB5FC153EE15C7848A5241,281,172024,Nw 19th/Hamilton,no,39.96209193330843,-75.16979822704923
